source,date,text,url,rating,platform,app_name
appstore_mls_official_app,2025-04-04,"Lost me. The changes went to far this year (2025). There are ads in front of every reply or link you click. Even if you replay it again. This might be expected from free app, but an app with a monthly subscription? No way. The app performance went way downhill this year also. When it works the content is great, but it has lost it’s value to me",https://apps.apple.com/us/app/id397303467,2,ios,MLS Official App
appstore_mls_official_app,2025-04-02,Requires “Account”. The app now requires you to give them your email and create a password. No thanks. I was only using the app to check the times my team is playing. I’ll just use ESPN I guess. Deleted,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-01,"Sign-in? Nope.. Forcing users to sign before they can even see basic details about game schedules, etcetera is irritating. No thanks, I’ll get MLS information elsewhere",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-01,"Can’t see half of stats. Nothing like MLB app, difficult to scroll and view",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-03-30,"Crashes. Had this app forever, the old versions were great then they updated it for the start of the 2025 season and now the app crashes every time I’m watching the match highlights. Back to back to back, every match highlight crashes and I gotta go back into the app and do it all again",https://apps.apple.com/us/app/id397303467,3,ios,MLS Official App
appstore_mls_official_app,2025-03-29,Doesn’t work after update. iPhone 16 plus max,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-03-29,17 or later?. Really? You can’t make this work properly on anything earlier than 17? Clowns,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-03-29,"Can’t get update. I have tried five times in the last two week or so to get update.

I have failed each time",https://apps.apple.com/us/app/id397303467,4,ios,MLS Official App
appstore_mls_official_app,2025-03-28,"Login? No way!. What kind of stupid is this?! You want me to create an account to view your app to see scores? That’s ridiculous! No way! What other professional league does that? I truly have no idea what this new app looks like cuz I refuse to create an account just to see it. Therefore I’m giving it one star. I’ll go to any number of other apps just to find out the scores of the games I’m interested in. But in all honesty, I’m finding that I’m less and less interested in this league anyway, and this is one of the reasons why. See ya, MLS",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-03-28,"App crashes. Had this app for years now the app crashes since the face lift. Using on new iPhone and the app simply crashes within seconds and haven’t been able to open it. Uninstalled and downloaded again multiple times, all the trouble shooting. Still does the same thing.  Loved this app but now have to use the browser to check on things!",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
